stop_name,stop_type,transit_type,lines,latitude,longitude
Wilhelmsburg S,,S-Bahn,"S3,S31",53.49775674392922,10.00679500740264
Veddel S,,S-Bahn,"S3,S31",53.5218886700098,10.014550061597404
Landungsbrücken S,,S-Bahn,"S1,S2,S3",53.54756146123652,9.972491026042887
Wandsbeker Chaussee S,,S-Bahn,"S1,S11",53.570268197577256,10.059357910859019
Hamburg-Harburg S,,S-Bahn,"S3,S31",53.456592474267815,9.989437425486873
Heimfeld S,,S-Bahn,"S3,S31",53.4644575557923,9.964982535081985
Bahrenfeld S,,S-Bahn,"S1,S11",53.55919848430106,9.9095138767495
Othmarschen S,,S-Bahn,"S1,S11",53.55840158981384,9.886609204876592
Neugraben S,,S-Bahn,"S3,S31",53.473712566283574,9.853201976640252
Berliner Tor S2/S21,,S-Bahn,"S2,S21",53.55360000528894,10.025025133174491
Klein Flottbek S,,S-Bahn,"S1,S11",53.55819260557694,9.860060212613917
Neuwiedenthal S,,S-Bahn,"S3,S31",53.472346738977414,9.87693142979705
Diebsteich S,,S-Bahn,"A1,S21,S3",53.56889206257684,9.934471007738196
Blankenese S,,S-Bahn,"S1,S11",53.56420593389366,9.814380484721124
Iserbrook S,,S-Bahn,S1,53.577376417448356,9.81363831981141
Sülldorf S,,S-Bahn,S1,53.57962682060213,9.796496048988004
Hamburg-Bergedorf S,,S-Bahn,"S2,S21",53.490162741955075,10.207346879999863
Rissen S,,S-Bahn,S1,53.58232716899614,9.756523289405843
Elbgaustraße S,,S-Bahn,"S21,S3",53.602605081528075,9.892168868860667
Allermöhe S,,S-Bahn,"S2,S21",53.48765809399901,10.15890908322936
Sternschanze (Messe) S,,S-Bahn,"A1,S11,S21,S31",53.563925192172995,9.965245830333682
Holstenstraße S,,S-Bahn,"A1,S11,S21,S31",53.5619707822119,9.94907306229612
Nettelnburg S,,S-Bahn,"S2,S21",53.48818711215645,10.180250335318899
Langenfelde S,,S-Bahn,"A1,S21,S3",53.5802709201154,9.933731096577162
Ohlsdorf S,,S-Bahn,"S1,S11",53.6215213882146,10.034009043674146
Stellingen (Arenen) S,,S-Bahn,"A1,S21,S3",53.58969179742116,9.920177253295343
Mittlerer Landweg S,,S-Bahn,"S2,S21",53.497327593550295,10.132344524699842
Eidelstedt S,,S-Bahn,"A1,S21,S3",53.59578456594951,9.906476075312618
Billwerder-Moorfleet S,,S-Bahn,"S2,S21",53.515082066740526,10.096492685662202
Hamburg Dammtor S,,S-Bahn,"A1,S11,S21,S31",53.5612187501194,9.987854278696284
Elbbrücken S,,S-Bahn,"S3,S31",53.53424798734805,10.025329232921804
Engelbrechtweg,,Metrobus,"M3,M2,M21",53.59796623754108,9.854025156582782
Boberger Drift,,Metrobus,M12,53.51510369404558,10.170610938133152
Havighorster Redder (West),,Metrobus,M29,53.52795121422415,10.13733829029241
Bei St.Annen,,Metrobus,M6,53.54568525324841,9.997596031174906
HBF/Steintorwall,,Metrobus,"M2,M3,M6,M16,M17",53.55130589744755,10.001317587193043
Wildacker,,Metrobus,M4,53.62107832873672,9.88725425631558
"Hamburg, Holtbarg",,Metrobus,M1,53.583407160308035,9.822826646190693
Schule Marschweg,,Metrobus,M1,53.58442620210628,9.76161311962654
Pieperweg,,Metrobus,M1,53.58001893674796,9.82332178088943
Lohkamp,,Metrobus,M29,53.53211896588607,10.122329304419885
Tietzestraße,,Metrobus,M22,53.56741313324905,9.832935609877856
Stadionstraße,,Metrobus,"M3,M2",53.58070009538435,9.886183974038715
Sinstorfer Kirchweg,,Metrobus,M14,53.424195099967896,9.981617692528067
Rönneburger Kirchweg,,Metrobus,M14,53.42903339257775,9.983971462996834
Tannenberg,,Metrobus,"M3,M2",53.583951048075384,9.881935758927044
